ID	name	storeID	author	levelUnlock	priceRuby	Song Loop	VersionMid	VersionMp3	MidFile	Mp3File	speedBegin	speedIncreaseAfterOneLoop	SongTrackClip	SongTrackSpeed	beginDistanceBySecond	AddStartDistance	typeSong	Category
11	Beautiful Piano	beautifulpiano	Light Of Music	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/beautifulpiano.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/beautifulpiano.mp3	1	0.25	0;37.75;75.09	1;1.0204081633;1.0416666667	1700	1000	NEW	1
12	New Year	newyear		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/newyear.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/newyear.mp3	1	0.25	0;30.0;60	1;1.0204081633;1.0416666667	1500	1000	NEW	2
13	Kid Theme	kidtheme		7	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/kidtheme.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/kidtheme.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	1800	1500	NORMAL	2
14	Canvas Painting	canvaspainting		8	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/canvaspainting.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/canvaspainting.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1650	1000	NORMAL	1
15	Love	love		9	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/love.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/love.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1600	1500	NORMAL	2
16	Beautiful Romantic	beautifulromantic	Kornev Music	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/beautifulromantic.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/beautifulromantic.mp3	1	0.25	0;33.9;67.9	1;1.0204081633;1.0416666667	1840	1000	NEW	2
17	Touching And Intimate	touchingandintimate	DPmusic Studio	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/touchingandintimate.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/touchingandintimate.mp3	1	0.25	0;45.3;74.8	1;1.0204081633;1.0416666667	2100	1000	NEW	2
18	Background	background		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/background.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/background.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	2200	1000	NEW	1
19	Buddy Song	buddysong		10	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/buddysong.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/buddysong.mp3	1	0.25	0;40.0;80.0	1;1.11111111111;1.25	1900	1500	NORMAL	2
20	A New Beginning	anewbeginning		11	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/anewbeginning.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/anewbeginning.mp3	1	0.25	0;30.0;60.0	1;1.05263158;1.111111111111	1700	1000	NORMAL	1
21	Memory Lane	memorylane		12	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/memorylane.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/memorylane.mp3	1	0.25	0;50.0;100.0	1;1.0204081633;1.0416666667	1800	1500	NORMAL	1
22	Uplifting Moment	upliftingmoment		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/upliftingmoment.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/upliftingmoment.mp3	1	0.25	0;35.0;70	1;1.0204081633;1.0416666667	2000	500	NEW	1
23	Chopin Nocturne 2	chopinnocturne2	Light Of Music	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/chopinnocturne2.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/chopinnocturne2.mp3	1	0.25	0;27.06;83.02	1;1.0204081633;1.0416666667	2500	1000	NEW	1
24	Wedding Ballad	weddingballad	The Audio Styler	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/weddingballad.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/weddingballad.mp3	1	0.25	0;49;89.7	1;1.0204081633;1.0416666667	1850	1000	NEW	1
25	Itsy Bitsy Spider	itsybitsyspider		13	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/itsybitsyspider.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/itsybitsyspider.mp3	1	0.25	0;20.0;40.0	1;1.05263158;1.111111111111	1900	1000	NORMAL	2
26	Funny Winter Holiday	funnywinterholiday		14	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/funnywinterholiday.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/funnywinterholiday.mp3	1	0.25	0;40.0;80	1;1.05263158;1.111111111111	1900	1000	NORMAL	2
27	Gentle Love	gentlelove		15	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/gentlelove.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/gentlelove.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	1900	2000	NORMAL	1
28	Light Piano	lightpiano	Piano King	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/lightpiano.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/lightpiano.mp3	1	0.25	0;32;80	1;1.0204081633;1.0416666667	1900	1000	NEW	1
29	80s Piano Synth	80spianosynth	Columnals	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/80spianosynth.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/80spianosynth.mp3	1	0.25	0;29.17;59	1;1.0204081633;1.0416666667	2100	1000	NEW	2
30	Game	game	JuanMares	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/game.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/game.mp3	1	0.25	0;23.8;48	1;1.0204081633;1.0416666667	2650	1000	NEW	2
31	Happy Every Day	happyeveryday		16	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/happyeveryday.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/happyeveryday.mp3	1	0.25	0;30.0;60	1;1.05263158;1.111111111111	1900	1000	NORMAL	1
32	Christmas Snow	christmassnow		17	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/christmassnow.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/christmassnow.mp3	1	0.25	0;25.0;50	1;1.05263158;1.111111111111	2000	1000	NORMAL	2
33	Happy Fun	happyfun		18	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/happyfun.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/happyfun.mp3	1	0.25	0;34.5;64.5	1;1.05263158;1.111111111111	2000	1000	NORMAL	2
34	Classical Piano	classicalpiano		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/classicalpiano.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/classicalpiano.mp3	1	0.25	0;25.0;50.0	1;1.0204081633;1.0416666667	2800	1500	NEW	1
35	Childhood Dreams	childhooddreams	DIXIDD	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/childhooddreams.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/childhooddreams.mp3	1	0.25	0;41.7;76	1;1.0204081633;1.0416666667	2300	1000	NEW	2
36	Inspiring Piano 	inspiringpiano	The JR Sound Design	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/inspiringpiano.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/inspiringpiano.mp3	1	0.25	0;38;76.4	1;1.0204081633;1.0416666667	2550	1000	NEW	1
37	Summit To Ayers Rock	summittoayersrock		19	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/summittoayersrock.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/summittoayersrock.mp3	1	0.25	0;35.0;70	1;1.0204081633;1.0416666667	2000	1000	NORMAL	1
38	Clear Day	clearday		20	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/clearday.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/clearday.mp3	1	0.25	0;39.0;62.0	1;1.05263158;1.111111111111	1900	1000	NORMAL	3
39	Classic Guitar	classicguitar		21	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/classicguitar.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/classicguitar.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	1900	1500	NORMAL	3
40	Believe In Happiness	believeinhappiness	Serginxs	-1	10	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/believeinhappiness.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/believeinhappiness.mp3	1	0.25	0;48.63;83.95	1;1.0204081633;1.0416666667	2250	1000	NEW	3
41	Childish Story 	childishstory	Actual Sound	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/childishstory.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/childishstory.mp3	1	0.25	0;42.8;87	1;1.0204081633;1.0416666667	2300	1000	NEW	3
42	Romantic	romantic	Praded	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/romantic.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/romantic.mp3	1	0.25	0;46;69.55	1;1.0204081633;1.0416666667	2700	1000	NEW	1
43	In Love	inlove		22	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/inlove.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/inlove.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	2000	1500	NORMAL	1
44	Little Idea	littleidea		23	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/littleidea.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/littleidea.mp3	1	0.25	0;55.0;78.5	1;1.11111111111;1.25	2000	1500	NORMAL	2
45	Fly With Me	flywithme		24	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/flywithme.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/flywithme.mp3	1	0.25	0;40.0;80	1;1.05263158;1.111111111111	2000	1000	NORMAL	3
46	Happy Life	happylife		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/happylife.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/happylife.mp3	1	0.25	0;35.0;70.0	1;1.05263158;1.111111111111	3100	1000	NEW	2
47	Happy	happy	Silver Tiger Studios	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/happy.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/happy.mp3	1	0.25	0;42.15;96.95	1;1.0204081633;1.0416666667	2930	1000	NEW	2
48	Beautiful Autumn	beautifulautumn		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/beautifulautumn.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/beautifulautumn.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	2300	1500	NEW	1
49	Hopeful Piano	hopefulpiano		25	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/hopefulpiano.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/hopefulpiano.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	2000	1500	NORMAL	1
50	The Joy Of Learning	thejoyoflearning		26	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/thejoyoflearning.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/thejoyoflearning.mp3	1	0.25	0;30.0;60.0	1;1.05263158;1.111111111111	2000	1000	NORMAL	2
51	Piano Strings	pianostrings		27	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/pianostrings.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/pianostrings.mp3	1	0.25	0;30.0;60.0	1;1.0204081633;1.0416666667	2000	1500	NORMAL	1
52	Mozart Piano	mozartpiano	Sound Lufs	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/mozartpiano.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/mozartpiano.mp3	1	0.25	0;22.4;71.5	1;1.0204081633;1.0416666667	2150	1000	NEW	1
53	Memories	memories		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/memories.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/memories.mp3	1	0.25	0;41.0;71.0	1;1.05263158;1.111111111111	3100	1000	NEW	2
54	Spring Sonata	springsonata		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/springsonata.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/springsonata.mp3	1	0.25	0;35.0;70	1;1.0204081633;1.0416666667	2900	1000	NEW	1
55	The Autumn	theautumn		28	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/theautumn.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/theautumn.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	2250	1500	NORMAL	3
56	Happy Easter Holiday	happyeasterholiday		29	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/happyeasterholiday.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/happyeasterholiday.mp3	1	0.25	0;50.0;100.0	1;1.0204081633;1.0416666667	2000	1500	NORMAL	2
57	The Christmas	thechristmas		30	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/thechristmas.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/thechristmas.mp3	1	0.25	0;30.0;60	1;1.05263158;1.111111111111	2200	1000	NORMAL	2
58	Christmas Uplift	christmasuplift	Victory Audio	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/christmasuplift.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/christmasuplift.mp3	1	0.25	0;30.55;74.87	1;1.0204081633;1.0416666667	2100	1000	NEW	2
59	Happy Story	happystory	Lubarsky	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/happystory.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/happystory.mp3	1	0.25	0;21.18;71.7	1;1.0204081633;1.0416666667	3000	1000	NEW	2
60	Dream Romantic 	dreamromantic	G Multimedia	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/dreamromantic.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/dreamromantic.mp3	1	0.25	0;32.5;69.5	1;1.0204081633;1.0416666667	2700	1000	NEW	1
61	Apple Day	appleday		31	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/appleday.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/appleday.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	2200	1000	NORMAL	1
62	The Positive	thepositive		32	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/thepositive.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/thepositive.mp3	1	0.25	0;40.0;80	1;1.05263158;1.111111111111	2400	1000	NORMAL	3
63	Love Moments	lovemoments		33	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/lovemoments.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/lovemoments.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	2200	1500	NORMAL	2
64	New Year Mood	newyearmood		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/newyearmood.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/newyearmood.mp3	1	0.175	0;45.0;90	1;1.0204081633;1.0416666667	2900	1000	NEW	2
65	Happy Whistle	happywhistle	Zyncope	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/happywhistle.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/happywhistle.mp3	1	0.25	0;42.28;83.55	1;1.0204081633;1.0416666667	3000	1000	NEW	2
66	Creative Keys	creativekeys		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/creativekeys.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/creativekeys.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	2300	1000	NEW	2
67	Love Myself	lovemyself		34	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/lovemyself.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/lovemyself.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	2200	1000	NORMAL	1
68	Smooth Rock	smoothrock		35	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/smoothrock.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/smoothrock.mp3	1	0.25	0;40.0;80	1;1.05263158;1.111111111111	2500	1000	NORMAL	3
69	Kissing The Rain	kissingtherain		36	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/kissingtherain.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/kissingtherain.mp3	1	0.25	0;50.0;100	1;1.0204081633;1.0416666667	2200	1000	NORMAL	1
70	Beethoven Fur Elise	beethovenfurelise	Isaku Kageyama	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/beethovenfurelise.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/beethovenfurelise.mp3	1	0.25	0;48.58;101.77	1;1.0204081633;1.0416666667	2200	1000	NEW	1
71	Double Rainbow	doublerainbow		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/doublerainbow.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/doublerainbow.mp3	1	0.25	0;30.0;60	1;1.0204081633;1.0416666667	2800	1000	NEW	1
72	Magical Waltz	magicalwaltz	Aquarius Music	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/magicalwaltz.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/magicalwaltz.mp3	1	0.25	0;61;102.9	1;1.0204081633;1.0416666667	2550	1000	NEW	2
73	Merry Christmas	merrychristmas		37	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/merrychristmas.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/merrychristmas.mp3	1	0.25	0;20.0;40	1;1.05263158;1.111111111111	2300	1000	NORMAL	2
74	Midnight in Tokyo	midnightintokyo		38	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/midnightintokyo.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/midnightintokyo.mp3	1	0.2	0;55.0;108.0	1;1.05263158;1.111111111111	2500	1000	NORMAL	3
75	Hungarian Sonata	hungariansonata	Richard Clayderman	39	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/hungariansonata.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/hungariansonata.mp3	1	0.25	0;51.0;78.0	1;1.05263158;1.111111111111	2300	1500	NORMAL	1
76	Funny Story	funnystory	Lubarsky	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/funnystory.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/funnystory.mp3	1	0.25	0;51;81	1;1.0204081633;1.0416666667	3100	1000	NEW	2
77	Happy And Fun	happyandfun		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/happyandfun.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/happyandfun.mp3	1	0.15	0;40.0;80	1;1.0204081633;1.0416666667	3000	1000	NEW	2
78	Bright And Happy	brightandhappy		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/brightandhappy.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/brightandhappy.mp3	1	0.2	0;30.0;60	1;1.05263158;1.111111111111	3200	1000	NEW	2
79	Feel Good Day	feelgoodday		40	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/feelgoodday.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/feelgoodday.mp3	1	0.25	0;35.0;70	1;1.05263158;1.111111111111	2400	1000	NORMAL	2
80	The Sun Will Shine Again	thesunwillshineagain		41	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/thesunwillshineagain.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/thesunwillshineagain.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	2300	1500	NORMAL	1
81	Christmas	christmas		42	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/christmas.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/christmas.mp3	1	0.25	0;40.0;80	1;1.05263158;1.111111111111	2500	1000	NORMAL	2
82	Lots Of Fun	lotsoffun	Rawsome Music	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/lotsoffun.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/lotsoffun.mp3	1	0.25	0;47.15;91.44	1;1.0204081633;1.0416666667	4000	1000	NEW	2
83	Piano Romantic	pianoromantic	Piano King	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/pianoromantic.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/pianoromantic.mp3	1	0.25	0;45.38;88	1;1.0204081633;1.0416666667	2800	1000	NEW	2
84	Be Happy Mood	behappymood		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/behappymood.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/behappymood.mp3	1	0.15	0;40.0;80.0	1;1.0204081633;1.0416666667	3300	1000	NEW	2
85	Wedding Photograph	weddingphotograph		43	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/weddingphotograph.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/weddingphotograph.mp3	1	0.25	0;45.0;93	1;1.05263158;1.111111111111	2400	1000	NORMAL	1
86	Mr Bean	mrbean		44	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/mrbean.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/mrbean.mp3	1	0.25	0;35.0;70.0	1;1.0204081633;1.0416666667	2500	1000	NORMAL	2
87	Winter Holidays	winterholidays		45	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/winterholidays.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/winterholidays.mp3	1	0.25	0;30.0;60	1;1.05263158;1.11111111111	2600	1000	NORMAL	2
88	Happy Classical Piano	happyclassicalpiano	Jerkim007	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/happyclassicalpiano.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/happyclassicalpiano.mp3	1	0.25	0;9.58;28.79	1;1.0204081633;1.0416666667	3000	1000	NEW	1
89	Sun Flower Day	sunflowerday		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/sunflowerday.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/sunflowerday.mp3	1	0.13	0;40.0;80.0	1;1.0204081633;1.0416666667	3800	1000	NEW	1
90	Piano Inspiration	pianoinspiration		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/pianoinspiration.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/pianoinspiration.mp3	1	0.25	0;40.0;80.0	1;1.0204081633;1.0416666667	2300	1000	NEW	1
91	ABC Playground	abcplayground		46	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/abcplayground.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/abcplayground.mp3	1	0.25	0;25.0;50.0	1;1.0204081633;1.0416666667	2400	1000	NORMAL	1
92	Music From Childhood	musicfromchildhood		47	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/musicfromchildhood.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/musicfromchildhood.mp3	1	0.25	0;30.0;60.0	1;1.0204081633;1.0416666667	2600	1500	NORMAL	2
93	The Simple 	thesimple		48	0	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/thesimple.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/thesimple.mp3	1	0.25	0;30.0;60.0	1;1.0204081633;1.0416666667	2400	1500	NORMAL	1
94	Cute	cute		-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/cute.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/cute.mp3	1	0.2	0;20.0;40	1;1.05263158;1.111111111111	2900	1000	NEW	1
95	Orchestral Waltz	orchestralwaltz	Music Ideas	-1	50	1	0	0	https://raw.githubusercontent.com/miodevs/pp/master/s/orchestralwaltz.mid	https://raw.githubusercontent.com/miodevs/pp/master/s/orchestralwaltz.mp3	1	0.25	0;42.3;70.9	1;1.0204081633;1.0416666667	2680	1000	NEW	1
